time,Q,Vgas,Tgas,Tbulb,deltaT
1,0.012,0.04,293.05,293.05,293.05,0.00
2,0.048,0.06,293.13,293.13,293.08,0.00
3,0.108,0.08,293.22,293.22,293.14,0.00
4,0.192,0.09,293.32,293.32,293.18,0.00
5,0.3,0.11,293.44,293.44,293.26,0.00
6,0.432,0.12,293.56,293.56,293.30,0.00
7,0.588,0.14,293.68,293.68,293.38,0.00
8,0.768,0.15,293.82,293.82,293.44,0.00
9,0.972,0.16,293.96,293.96,293.52,0.00
10,1.2,0.17,294.10,294.10,293.58,0.00
11,1.452,0.18,294.25,294.25,293.67,0.00
12,1.728,0.19,294.40,294.40,293.73,0.00
13,2.028,0.20,294.56,294.56,293.83,0.00
14,2.352,0.21,294.72,294.72,293.91,0.01
15,2.7,0.22,294.89,294.89,294.01,0.01
16,3.072,0.23,295.06,295.06,294.08,0.01
17,3.468,0.24,295.23,295.23,294.18,0.01
18,3.888,0.25,295.41,295.41,294.25,0.01
19,4.332,0.26,295.59,295.59,294.36,0.01
20,4.8,0.27,295.77,295.77,294.44,0.01
21,5.292,0.28,295.96,295.96,294.55,0.01
22,5.808,0.29,296.15,296.15,294.63,0.01
23,6.348,0.30,296.34,296.34,294.74,0.01
24,6.912,0.31,296.53,296.53,294.82,0.01
25,7.5,0.32,296.73,296.73,294.94,0.01
26,8.112,0.32,296.93,296.93,295.03,0.01
27,8.748,0.33,297.13,297.13,295.15,0.02
28,9.408,0.34,297.34,297.34,295.24,0.02
29,10.092,0.35,297.55,297.55,295.36,0.02
30,10.8,0.36,297.76,297.76,295.45,0.02
31,11.532,0.36,297.97,297.97,295.58,0.02
32,12.288,0.37,298.18,298.18,295.67,0.02
33,13.068,0.38,298.40,298.40,295.79,0.02
34,13.872,0.39,298.62,298.62,295.89,0.02
35,14.700000000000001,0.40,298.84,298.84,296.02,0.02
36,15.552,0.40,299.07,299.07,296.12,0.03
37,16.428,0.41,299.29,299.29,296.25,0.03
38,17.328,0.42,299.52,299.52,296.35,0.03
39,18.252,0.43,299.75,299.75,296.49,0.03
40,19.2,0.43,299.98,299.98,296.59,0.03
41,20.172,0.44,300.21,300.21,296.72,0.03
42,21.168,0.45,300.45,300.45,296.82,0.03
43,22.188,0.45,300.69,300.69,296.96,0.03
44,23.232,0.46,300.93,300.93,297.07,0.04
45,24.3,0.47,301.17,301.17,297.21,0.04
46,25.392,0.47,301.41,301.41,297.32,0.04
47,26.508,0.48,301.66,301.66,297.46,0.04
48,27.648,0.49,301.90,301.90,297.57,0.04
49,28.812,0.49,302.15,302.15,297.71,0.04
50,30,0.50,302.40,302.40,297.82,0.04
51,31.212,0.51,302.65,302.65,297.97,0.05
52,32.448,0.51,302.90,302.90,298.08,0.05
53,33.708,0.52,303.16,303.16,298.23,0.05
54,34.992,0.53,303.42,303.42,298.34,0.05
55,36.300000000000004,0.53,303.67,303.67,298.49,0.05
56,37.632,0.54,303.93,303.93,298.60,0.05
57,38.988,0.55,304.19,304.19,298.76,0.06
58,40.368,0.55,304.46,304.46,298.87,0.06
59,41.772,0.56,304.72,304.72,299.02,0.06
60,43.2,0.57,304.99,304.99,299.14,0.06
61,44.652,0.57,305.25,305.25,299.29,0.06
62,46.128,0.58,305.52,305.52,299.41,0.06
63,47.628,0.59,305.79,305.79,299.58,0.07
64,49.152,0.59,306.06,306.06,299.70,0.07
65,50.7,0.60,306.34,306.34,299.85,0.07
66,52.272,0.60,306.61,306.61,299.97,0.07
67,53.868,0.61,306.89,306.89,300.13,0.07
68,55.488,0.62,307.16,307.16,300.25,0.07
69,57.132,0.62,307.44,307.44,300.42,0.08
70,58.800000000000004,0.63,307.72,307.72,300.54,0.08
71,60.492000000000004,0.63,308.00,308.00,300.70,0.08
72,62.208,0.64,308.28,308.28,300.83,0.08
73,63.948,0.65,308.57,308.57,300.99,0.08
74,65.712,0.65,308.85,308.85,301.12,0.09
75,67.5,0.66,309.14,309.14,301.28,0.09
76,69.312,0.66,309.43,309.43,301.41,0.09
77,71.148,0.67,309.72,309.72,301.57,0.09
78,73.008,0.67,310.01,310.01,301.70,0.09
79,74.892,0.68,310.30,310.30,301.88,0.10
80,76.8,0.69,310.59,310.59,302.01,0.10
81,78.732,0.69,310.88,310.88,302.17,0.10
82,80.688,0.70,311.18,311.18,302.31,0.10
83,82.668,0.70,311.48,311.48,302.47,0.10
84,84.672,0.71,311.77,311.77,302.62,0.11
85,86.7,0.71,312.07,312.07,302.78,0.11
86,88.752,0.72,312.37,312.37,302.92,0.11
